cellIndex	x	z	P	Q	matNum	fixed
339	19.25	1.75	8.25	0	1	false
340	19.75	1.75	8.25	0	14	false
341	20.25	1.75	8.25	0	3	false
342	20.75	1.75	8.25	0	4	false
343	21.25	1.75	8.25	0	29	false
344	21.75	1.75	8.25	0	92	false
345	22.25	1.75	8.25	0	80	false
346	22.75	1.75	8.25	0	86	false
347	23.25	1.75	8.25	0	75	false
348	23.75	1.75	8.25	0	70	false
349	24.25	1.75	8.25	0	60	false
350	24.75	1.75	8.25	0	64	false
351	25.25	1.75	8.25	0	81	false
352	25.75	1.75	8.25	0	87	false
353	26.25	1.75	8.25	0	82	false
354	26.75	1.75	8.25	0	76	false
355	27.25	1.75	8.25	0	86	false
356	27.75	1.75	8.25	0	91	false
357	28.25	1.75	8.25	0	94	false
358	28.75	1.75	8.25	0	94	false
359	29.25	1.75	8.25	0	82	false
360	29.75	1.75	8.25	0	60	false
361	30.25	1.75	8.25	0	55	false
362	30.75	1.75	8.25	0	46	false
363	31.25	1.75	8.25	0	38	false
364	31.75	1.75	8.25	0	67	false
365	32.25	1.75	8.25	0	68	false
366	32.75	1.75	8.25	0	66	false
367	33.25	1.75	8.25	0	66	false
368	33.75	1.75	8.25	0	84	false
369	34.25	1.75	8.25	0	51	false
370	34.75	1.75	8.25	0	60	false
371	35.25	1.75	8.25	0	61	false
372	35.75	1.75	8.25	0	58	false
373	36.25	1.75	8.25	0	27	false
374	36.75	1.75	8.25	0	81	false
375	37.25	1.75	8.25	0	67	false
376	37.75	1.75	8.25	0	67	false
377	38.25	1.75	8.25	0	50	false
378	38.75	1.75	8.25	0	10	false
379	39.25	1.75	8.25	0	10	false
380	39.75	1.75	8.25	0	8	false
381	40.25	1.75	8.25	0	2	false
382	40.75	1.75	8.25	0	31	false
383	41.25	1.75	8.25	0	14	false
384	41.75	1.75	8.25	0	15	false
385	42.25	1.75	8.25	0	20	false
386	42.75	1.75	8.25	0	8	false
387	43.25	1.75	8.25	0	7	false
388	43.75	1.75	8.25	0	9	false
389	44.25	1.75	8.25	0	6	false
390	44.75	1.75	8.25	0	5	false
391	45.25	1.75	8.25	0	9	false
392	45.75	1.75	8.25	0	7	false
393	46.25	1.75	8.25	0	2	false
394	46.75	1.75	8.25	0	4	false
395	47.25	1.75	8.25	0	10	false
396	47.75	1.75	8.25	0	34	false
397	48.25	1.75	8.25	0	41	false
398	48.75	1.75	8.25	0	38	false
399	49.25	1.75	8.25	0	44	false
400	49.75	1.75	8.25	0	29	false
401	0.25	2.25	7.75	0	16	true
402	0.75	2.25	7.75	0	34	false
403	1.25	2.25	7.75	0	13	false
404	1.75	2.25	7.75	0	35	false
405	2.25	2.25	7.75	0	24	false
406	2.75	2.25	7.75	0	35	false
407	3.25	2.25	7.75	0	28	false
408	3.75	2.25	7.75	0	28	false
409	4.25	2.25	7.75	0	58	false
410	4.75	2.25	7.75	0	68	false
411	5.25	2.25	7.75	0	81	false
412	5.75	2.25	7.75	0	94	false
413	6.25	2.25	7.75	0	88	false
414	6.75	2.25	7.75	0	6	false
415	7.25	2.25	7.75	0	11	false
416	7.75	2.25	7.75	0	56	false
417	8.25	2.25	7.75	0	64	false
418	8.75	2.25	7.75	0	61	false
419	9.25	2.25	7.75	0	61	false
420	9.75	2.25	7.75	0	89	false
421	10.25	2.25	7.75	0	75	false
422	10.75	2.25	7.75	0	77	false
423	11.25	2.25	7.75	0	84	false
424	11.75	2.25	7.75	0	65	false
425	12.25	2.25	7.75	0	81	false
426	12.75	2.25	7.75	0	82	false
427	13.25	2.25	7.75	0	72	false
428	13.75	2.25	7.75	0	44	false
429	14.25	2.25	7.75	0	66	false
430	14.75	2.25	7.75	0	80	false
431	15.25	2.25	7.75	0	81	false
432	15.75	2.25	7.75	0	69	false
433	16.25	2.25	7.75	0	44	false
434	16.75	2.25	7.75	0	42	false
435	17.25	2.25	7.75	0	68	false
436	17.75	2.25	7.75	0	95	false
437	18.25	2.25	7.75	0	91	false
438	18.75	2.25	7.75	0	38	false
